protection_score,protection_score_pct,protection_level,Masque pour pesticides,Bottes,Gants,Casquette/Mdhalla,Manteau imperméable
2,13.333333333333334,Poor,jamais,jamais,souvent,jamais,jamais
2,13.333333333333334,Poor,jamais,jamais,jamais,souvent,jamais
10,66.66666666666666,Good,souvent,souvent,souvent,souvent,souvent
4,26.666666666666668,Basic,parfois,parfois,souvent,jamais,jamais
2,13.333333333333334,Poor,jamais,jamais,souvent,jamais,jamais
6,40.0,Basic,parfois,parfois,parfois,toujours,jamais
6,40.0,Basic,jamais,souvent,souvent,souvent,jamais
5,33.33333333333333,Basic,jamais,souvent,jamais,toujours,jamais
0,0.0,,jamais,jamais,jamais,jamais,jamais
2,13.333333333333334,Poor,parfois,parfois,jamais,jamais,jamais
3,20.0,Poor,parfois,jamais,souvent,jamais,jamais
7,46.666666666666664,Basic,jamais,jamais,souvent,toujours,souvent
1,6.666666666666667,Poor,jamais,jamais,parfois,jamais,jamais
0,0.0,,jamais,jamais,jamais,jamais,jamais
3,20.0,Poor,jamais,toujours,jamais,jamais,jamais
6,40.0,Basic,jamais,parfois,souvent,toujours,jamais
8,53.333333333333336,Good,souvent,souvent,souvent,souvent,jamais
3,20.0,Poor,jamais,parfois,souvent,jamais,jamais
4,26.666666666666668,Basic,jamais,souvent,souvent,jamais,jamais
7,46.666666666666664,Basic,souvent,souvent,souvent,parfois,jamais
7,46.666666666666664,Basic,jamais,souvent,souvent,toujours,jamais
9,60.0,Good,souvent,souvent,souvent,toujours,jamais
4,26.666666666666668,Basic,souvent,jamais,souvent,jamais,jamais
4,26.666666666666668,Basic,jamais,jamais,souvent,souvent,jamais
6,40.0,Basic,jamais,souvent,parfois,toujours,jamais
7,46.666666666666664,Basic,jamais,souvent,souvent,toujours,jamais
4,26.666666666666668,Basic,souvent,jamais,souvent,jamais,jamais
2,13.333333333333334,Poor,jamais,jamais,souvent,jamais,jamais
0,0.0,,jamais,jamais,jamais,jamais,jamais
0,0.0,,jamais,jamais,jamais,jamais,jamais
0,0.0,,jamais,jamais,jamais,jamais,jamais
4,26.666666666666668,Basic,jamais,souvent,souvent,jamais,jamais
3,20.0,Poor,jamais,jamais,jamais,toujours,jamais
5,33.33333333333333,Basic,jamais,souvent,jamais,toujours,jamais
0,0.0,,jamais,jamais,jamais,jamais,jamais
4,26.666666666666668,Basic,jamais,jamais,parfois,toujours,jamais
2,13.333333333333334,Poor,jamais,jamais,jamais,souvent,jamais
6,40.0,Basic,jamais,jamais,parfois,toujours,souvent
0,0.0,,jamais,jamais,jamais,jamais,jamais
3,20.0,Poor,jamais,jamais,jamais,toujours,jamais
10,66.66666666666666,Good,jamais,toujours,souvent,toujours,souvent
4,26.666666666666668,Basic,jamais,jamais,souvent,souvent,jamais
0,0.0,,jamais,jamais,jamais,jamais,jamais
1,6.666666666666667,Poor,jamais,parfois,jamais,jamais,jamais
10,66.66666666666666,Good,jamais,toujours,toujours,toujours,parfois
3,20.0,Poor,jamais,jamais,souvent,parfois,jamais
0,0.0,,jamais,jamais,jamais,jamais,jamais
2,13.333333333333334,Poor,parfois,jamais,parfois,jamais,jamais
10,66.66666666666666,Good,toujours,toujours,toujours,parfois,jamais
6,40.0,Basic,jamais,toujours,parfois,souvent,jamais
4,26.666666666666668,Basic,parfois,jamais,jamais,toujours,jamais
1,6.666666666666667,Poor,jamais,jamais,parfois,jamais,jamais
5,33.33333333333333,Basic,jamais,jamais,souvent,toujours,jamais
4,26.666666666666668,Basic,jamais,souvent,jamais,souvent,jamais
3,20.0,Poor,jamais,jamais,jamais,toujours,jamais
5,33.33333333333333,Basic,parfois,parfois,parfois,souvent,jamais
0,0.0,,jamais,jamais,jamais,jamais,jamais
5,33.33333333333333,Basic,souvent,jamais,jamais,toujours,jamais
4,26.666666666666668,Basic,parfois,jamais,parfois,souvent,jamais
1,6.666666666666667,Poor,jamais,parfois,jamais,jamais,jamais
0,0.0,,jamais,jamais,jamais,jamais,jamais
1,6.666666666666667,Poor,jamais,jamais,jamais,parfois,jamais
3,20.0,Poor,jamais,jamais,jamais,toujours,jamais
6,40.0,Basic,jamais,parfois,parfois,toujours,parfois
6,40.0,Basic,jamais,jamais,parfois,toujours,souvent
3,20.0,Poor,jamais,jamais,jamais,toujours,jamais
0,0.0,,jamais,jamais,jamais,jamais,jamais
3,20.0,Poor,jamais,jamais,jamais,toujours,jamais
6,40.0,Basic,jamais,jamais,toujours,toujours,jamais
3,20.0,Poor,jamais,jamais,jamais,toujours,jamais
0,0.0,,jamais,jamais,jamais,jamais,jamais
4,26.666666666666668,Basic,jamais,souvent,jamais,souvent,jamais
0,0.0,,jamais,jamais,jamais,jamais,jamais
12,80.0,Excellent,jamais,toujours,toujours,toujours,toujours
1,6.666666666666667,Poor,jamais,jamais,jamais,parfois,jamais
2,13.333333333333334,Poor,jamais,jamais,jamais,souvent,jamais
6,40.0,Basic,jamais,jamais,toujours,toujours,jamais
7,46.666666666666664,Basic,jamais,parfois,toujours,toujours,jamais
2,13.333333333333334,Poor,jamais,jamais,parfois,parfois,jamais
6,40.0,Basic,jamais,jamais,toujours,toujours,jamais
