Principal Component,Explained Variance (%),Cumulative Variance (%)
PC1,23.609220482695424,23.609220482695424
PC2,16.1021740700571,39.71139455275252
PC3,13.530130990136765,53.24152554288929
PC4,9.856421222733532,63.09794676562282
PC5,8.265670541876913,71.36361730749974
PC6,7.6563321767362496,79.01994948423598
PC7,6.179432121545868,85.19938160578185
PC8,5.348174227859439,90.5475558336413
PC9,3.836521066630364,94.38407690027167
PC10,3.1351647515141425,97.5192416517858
PC11,2.480758348214212,100.00000000000001
