,0,1,2,3,4
Masque pour pesticides__jamais,0.04961892017338715,-0.1302358860567619,-0.172720213053512,-0.2992749913376154,-0.058676160149468824
Masque pour pesticides__parfois,-0.4617841052961909,-0.9668595222550661,1.6057334713885776,1.4407200181608308,0.23446537844827034
Masque pour pesticides__souvent,-0.590070691174515,2.1548153383321695,0.12067938708720619,0.35453341511375236,0.5067919477594807
Masque pour pesticides__toujours,4.649156789494355,0.9862655173481074,-2.636529845294293,5.1461053945244695,-1.6679924123365089
Bottes__jamais,-0.20663530257477866,-0.28404965544805966,-0.3323417915446072,-0.16994157463190365,-0.32899369065564477
Bottes__parfois,-0.018800018136119954,-0.8909236169921045,1.4497176074060059,0.8468769180007226,0.916973013412956
Bottes__souvent,-0.39874238723653954,1.508432405494343,0.18731776541222814,-0.07684291483522529,0.45797773526927027
Bottes__toujours,2.6836931219019466,0.33227754423387007,-0.08375586876681558,0.18401839321351965,0.14471101748048387
Gants__jamais,-0.29845763885845145,-0.4635650137194348,-0.5798933306478676,-0.21655368272786396,0.04604326544635729
Gants__parfois,0.11856431734914182,-0.48286445652102034,1.339213713378046,0.3014560711553355,-1.1553019057192526
Gants__souvent,-0.3569691107299295,0.9826292100805897,0.2105283756676483,0.17299625979165478,0.3646680012856447
Gants__toujours,2.5386282186976747,-0.0882175161801752,-0.2266141980878447,-0.039272368830852764,0.6584764553465654
Casquette/Mdhalla__jamais,-0.4637964400622575,-0.48316259078825613,-0.32213713014247863,0.17473595908884257,0.3828839036947884
Casquette/Mdhalla__parfois,0.808128470002225,0.6620001140135129,-1.26028872087241,1.876218028815467,-1.187426212248694
Casquette/Mdhalla__souvent,-0.40789855759229376,0.7344276760154796,0.45627278592393344,0.2952143354685923,-0.08124042546537705
Casquette/Mdhalla__toujours,0.49438666902054845,0.04861599473845424,0.38721457142133886,-0.6837303088579539,-0.12295727366654531
Manteau imperméable__jamais,-0.15592695044930494,-0.07234124878298198,-0.1424295853746583,0.13506278741526043,0.08294327214324619
Manteau imperméable__parfois,2.5365077175714,-0.7647719118300395,2.2374333965221256,-0.8030922444967515,0.5580127881207266
Manteau imperméable__souvent,0.31803911219605724,1.3091903434828867,1.18552418587598,-1.22350797579827,-2.105781408932054
Manteau imperméable__toujours,4.563529436226882,0.19216201862035143,-0.14755757544874867,-2.000796325913892,3.440965874105105
